Serial Number,MY62140058,
Model Number,U1242C,
Remark,-,
Date Time,3/20/2024 10:30:35 PM
Record,Time,Function,Reading,Range,Unit
33,3/20/2024 22:17:52.240,Temperature {Temp.K},27.3, °C,°C
34,3/20/2024 22:17:53.241,Temperature {Temp.K},27.3, °C,°C
35,3/20/2024 22:17:54.242,Temperature {Temp.K},27.2, °C,°C
36,3/20/2024 22:17:55.244,Temperature {Temp.K},27.2, °C,°C
37,3/20/2024 22:17:56.244,Temperature {Temp.K},27.2, °C,°C
38,3/20/2024 22:17:57.245,Temperature {Temp.K},27.2, °C,°C
39,3/20/2024 22:17:58.246,Temperature {Temp.K},27.2, °C,°C
40,3/20/2024 22:17:59.247,Temperature {Temp.K},27.3, °C,°C
41,3/20/2024 22:18:00.248,Temperature {Temp.K},27.3, °C,°C
42,3/20/2024 22:18:01.250,Temperature {Temp.K},27.4, °C,°C
43,3/20/2024 22:18:02.251,Temperature {Temp.K},27.4, °C,°C
44,3/20/2024 22:18:03.252,Temperature {Temp.K},27.5, °C,°C
45,3/20/2024 22:18:04.254,Temperature {Temp.K},27.6, °C,°C
46,3/20/2024 22:18:05.255,Temperature {Temp.K},27.8, °C,°C
47,3/20/2024 22:18:06.257,Temperature {Temp.K},28.0, °C,°C
48,3/20/2024 22:18:07.257,Temperature {Temp.K},28.2, °C,°C
49,3/20/2024 22:18:08.258,Temperature {Temp.K},28.4, °C,°C
50,3/20/2024 22:18:09.259,Temperature {Temp.K},28.7, °C,°C
51,3/20/2024 22:18:10.259,Temperature {Temp.K},29.0, °C,°C
52,3/20/2024 22:18:11.260,Temperature {Temp.K},29.4, °C,°C
53,3/20/2024 22:18:12.261,Temperature {Temp.K},29.7, °C,°C
54,3/20/2024 22:18:13.263,Temperature {Temp.K},30.1, °C,°C
55,3/20/2024 22:18:14.263,Temperature {Temp.K},30.6, °C,°C
56,3/20/2024 22:18:15.264,Temperature {Temp.K},31.1, °C,°C
57,3/20/2024 22:18:16.265,Temperature {Temp.K},31.6, °C,°C
58,3/20/2024 22:18:17.265,Temperature {Temp.K},32.3, °C,°C
59,3/20/2024 22:18:18.266,Temperature {Temp.K},32.6, °C,°C
60,3/20/2024 22:18:19.268,Temperature {Temp.K},33.3, °C,°C
61,3/20/2024 22:18:20.269,Temperature {Temp.K},34.2, °C,°C
62,3/20/2024 22:18:21.270,Temperature {Temp.K},35.0, °C,°C
63,3/20/2024 22:18:22.272,Temperature {Temp.K},35.3, °C,°C
64,3/20/2024 22:18:23.273,Temperature {Temp.K},36.0, °C,°C
65,3/20/2024 22:18:24.273,Temperature {Temp.K},36.8, °C,°C
66,3/20/2024 22:18:25.274,Temperature {Temp.K},37.6, °C,°C
67,3/20/2024 22:18:26.276,Temperature {Temp.K},38.4, °C,°C
68,3/20/2024 22:18:27.278,Temperature {Temp.K},39.6, °C,°C
69,3/20/2024 22:18:28.279,Temperature {Temp.K},40.5, °C,°C
70,3/20/2024 22:18:29.279,Temperature {Temp.K},41.2, °C,°C
71,3/20/2024 22:18:30.280,Temperature {Temp.K},42.0, °C,°C
72,3/20/2024 22:18:31.281,Temperature {Temp.K},42.7, °C,°C
73,3/20/2024 22:18:32.282,Temperature {Temp.K},43.6, °C,°C
74,3/20/2024 22:18:33.284,Temperature {Temp.K},44.8, °C,°C
75,3/20/2024 22:18:34.285,Temperature {Temp.K},45.6, °C,°C
76,3/20/2024 22:18:35.287,Temperature {Temp.K},46.5, °C,°C
77,3/20/2024 22:18:36.287,Temperature {Temp.K},47.8, °C,°C
78,3/20/2024 22:18:37.289,Temperature {Temp.K},48.7, °C,°C
79,3/20/2024 22:18:38.290,Temperature {Temp.K},50.0, °C,°C
80,3/20/2024 22:18:39.292,Temperature {Temp.K},50.8, °C,°C
81,3/20/2024 22:18:40.294,Temperature {Temp.K},52.1, °C,°C
82,3/20/2024 22:18:41.296,Temperature {Temp.K},53.5, °C,°C
83,3/20/2024 22:18:42.296,Temperature {Temp.K},53.5, °C,°C
84,3/20/2024 22:18:43.297,Temperature {Temp.K},55.6, °C,°C
85,3/20/2024 22:18:44.298,Temperature {Temp.K},56.9, °C,°C
86,3/20/2024 22:18:45.299,Temperature {Temp.K},57.7, °C,°C
87,3/20/2024 22:18:46.300,Temperature {Temp.K},59.1, °C,°C
88,3/20/2024 22:18:47.301,Temperature {Temp.K},59.9, °C,°C
89,3/20/2024 22:18:48.301,Temperature {Temp.K},61.2, °C,°C
90,3/20/2024 22:18:49.302,Temperature {Temp.K},62.6, °C,°C
91,3/20/2024 22:18:50.304,Temperature {Temp.K},63.5, °C,°C
92,3/20/2024 22:18:51.305,Temperature {Temp.K},64.9, °C,°C
93,3/20/2024 22:18:52.306,Temperature {Temp.K},66.3, °C,°C
94,3/20/2024 22:18:53.306,Temperature {Temp.K},67.2, °C,°C
95,3/20/2024 22:18:54.308,Temperature {Temp.K},68.5, °C,°C
96,3/20/2024 22:18:55.308,Temperature {Temp.K},69.9, °C,°C
97,3/20/2024 22:18:56.310,Temperature {Temp.K},71.4, °C,°C
98,3/20/2024 22:18:57.310,Temperature {Temp.K},72.3, °C,°C
99,3/20/2024 22:18:58.311,Temperature {Temp.K},73.7, °C,°C
100,3/20/2024 22:18:59.312,Temperature {Temp.K},75.1, °C,°C
101,3/20/2024 22:19:00.313,Temperature {Temp.K},76.0, °C,°C
102,3/20/2024 22:19:01.314,Temperature {Temp.K},77.5, °C,°C
103,3/20/2024 22:19:02.315,Temperature {Temp.K},79.1, °C,°C
104,3/20/2024 22:19:03.317,Temperature {Temp.K},80.5, °C,°C
105,3/20/2024 22:19:04.318,Temperature {Temp.K},81.9, °C,°C
106,3/20/2024 22:19:05.319,Temperature {Temp.K},83.2, °C,°C
107,3/20/2024 22:19:06.319,Temperature {Temp.K},84.9, °C,°C
108,3/20/2024 22:19:07.320,Temperature {Temp.K},86.2, °C,°C
109,3/20/2024 22:19:08.321,Temperature {Temp.K},88.0, °C,°C
110,3/20/2024 22:19:09.322,Temperature {Temp.K},89.2, °C,°C
111,3/20/2024 22:19:10.322,Temperature {Temp.K},90.6, °C,°C
112,3/20/2024 22:19:11.324,Temperature {Temp.K},92.5, °C,°C
113,3/20/2024 22:19:12.324,Temperature {Temp.K},93.9, °C,°C
114,3/20/2024 22:19:13.325,Temperature {Temp.K},95.1, °C,°C
115,3/20/2024 22:19:14.326,Temperature {Temp.K},97.0, °C,°C
116,3/20/2024 22:19:15.327,Temperature {Temp.K},97.6, °C,°C
117,3/20/2024 22:19:16.328,Temperature {Temp.K},100.0, °C,°C
118,3/20/2024 22:19:17.328,Temperature {Temp.K},101.2, °C,°C
119,3/20/2024 22:19:18.329,Temperature {Temp.K},103.0, °C,°C
120,3/20/2024 22:19:19.330,Temperature {Temp.K},104.3, °C,°C
121,3/20/2024 22:19:20.331,Temperature {Temp.K},106.1, °C,°C
122,3/20/2024 22:19:21.332,Temperature {Temp.K},107.6, °C,°C
123,3/20/2024 22:19:22.333,Temperature {Temp.K},108.7, °C,°C
124,3/20/2024 22:19:23.334,Temperature {Temp.K},110.3, °C,°C
125,3/20/2024 22:19:24.334,Temperature {Temp.K},112.1, °C,°C
126,3/20/2024 22:19:25.336,Temperature {Temp.K},113.3, °C,°C
127,3/20/2024 22:19:26.337,Temperature {Temp.K},114.7, °C,°C
128,3/20/2024 22:19:27.338,Temperature {Temp.K},116.0, °C,°C
129,3/20/2024 22:19:28.339,Temperature {Temp.K},117.8, °C,°C
130,3/20/2024 22:19:29.339,Temperature {Temp.K},119.2, °C,°C
131,3/20/2024 22:19:30.351,Temperature {Temp.K},120.5, °C,°C
132,3/20/2024 22:19:31.353,Temperature {Temp.K},122.2, °C,°C
133,3/20/2024 22:19:32.353,Temperature {Temp.K},123.5, °C,°C
134,3/20/2024 22:19:33.354,Temperature {Temp.K},124.9, °C,°C
135,3/20/2024 22:19:34.354,Temperature {Temp.K},126.3, °C,°C
136,3/20/2024 22:19:35.356,Temperature {Temp.K},127.6, °C,°C
137,3/20/2024 22:19:36.357,Temperature {Temp.K},129.5, °C,°C
138,3/20/2024 22:19:37.358,Temperature {Temp.K},131.0, °C,°C
139,3/20/2024 22:19:38.358,Temperature {Temp.K},132.4, °C,°C
140,3/20/2024 22:19:39.359,Temperature {Temp.K},133.4, °C,°C
141,3/20/2024 22:19:40.361,Temperature {Temp.K},134.9, °C,°C
142,3/20/2024 22:19:41.363,Temperature {Temp.K},136.3, °C,°C
143,3/20/2024 22:19:42.364,Temperature {Temp.K},137.6, °C,°C
144,3/20/2024 22:19:43.365,Temperature {Temp.K},139.0, °C,°C
145,3/20/2024 22:19:44.365,Temperature {Temp.K},139.9, °C,°C
146,3/20/2024 22:19:45.367,Temperature {Temp.K},141.4, °C,°C
147,3/20/2024 22:19:46.368,Temperature {Temp.K},142.2, °C,°C
148,3/20/2024 22:19:47.369,Temperature {Temp.K},144.1, °C,°C
149,3/20/2024 22:19:48.370,Temperature {Temp.K},145.6, °C,°C
150,3/20/2024 22:19:49.371,Temperature {Temp.K},147.0, °C,°C
151,3/20/2024 22:19:50.372,Temperature {Temp.K},147.9, °C,°C
152,3/20/2024 22:19:51.373,Temperature {Temp.K},149.2, °C,°C
153,3/20/2024 22:19:52.374,Temperature {Temp.K},150.7, °C,°C
154,3/20/2024 22:19:53.375,Temperature {Temp.K},151.6, °C,°C
155,3/20/2024 22:19:54.376,Temperature {Temp.K},153.0, °C,°C
156,3/20/2024 22:19:55.378,Temperature {Temp.K},154.0, °C,°C
157,3/20/2024 22:19:56.379,Temperature {Temp.K},155.4, °C,°C
158,3/20/2024 22:19:57.380,Temperature {Temp.K},156.9, °C,°C
159,3/20/2024 22:19:58.381,Temperature {Temp.K},157.7, °C,°C
160,3/20/2024 22:19:59.382,Temperature {Temp.K},159.1, °C,°C
161,3/20/2024 22:20:00.383,Temperature {Temp.K},160.4, °C,°C
162,3/20/2024 22:20:01.384,Temperature {Temp.K},161.3, °C,°C
163,3/20/2024 22:20:02.385,Temperature {Temp.K},162.6, °C,°C
164,3/20/2024 22:20:03.386,Temperature {Temp.K},164.1, °C,°C
165,3/20/2024 22:20:04.388,Temperature {Temp.K},164.9, °C,°C
166,3/20/2024 22:20:05.389,Temperature {Temp.K},166.4, °C,°C
167,3/20/2024 22:20:06.390,Temperature {Temp.K},167.2, °C,°C
168,3/20/2024 22:20:07.392,Temperature {Temp.K},168.8, °C,°C
169,3/20/2024 22:20:08.392,Temperature {Temp.K},169.6, °C,°C
170,3/20/2024 22:20:09.393,Temperature {Temp.K},170.3, °C,°C
171,3/20/2024 22:20:10.395,Temperature {Temp.K},171.8, °C,°C
172,3/20/2024 22:20:11.395,Temperature {Temp.K},172.7, °C,°C
173,3/20/2024 22:20:12.396,Temperature {Temp.K},173.9, °C,°C
174,3/20/2024 22:20:13.397,Temperature {Temp.K},175.3, °C,°C
175,3/20/2024 22:20:14.398,Temperature {Temp.K},176.1, °C,°C
176,3/20/2024 22:20:15.399,Temperature {Temp.K},177.3, °C,°C
177,3/20/2024 22:20:16.400,Temperature {Temp.K},178.3, °C,°C
178,3/20/2024 22:20:17.401,Temperature {Temp.K},179.5, °C,°C
179,3/20/2024 22:20:18.402,Temperature {Temp.K},180.7, °C,°C
180,3/20/2024 22:20:19.402,Temperature {Temp.K},181.5, °C,°C
181,3/20/2024 22:20:20.403,Temperature {Temp.K},182.7, °C,°C
182,3/20/2024 22:20:21.404,Temperature {Temp.K},183.6, °C,°C
183,3/20/2024 22:20:22.405,Temperature {Temp.K},184.4, °C,°C
184,3/20/2024 22:20:23.406,Temperature {Temp.K},185.7, °C,°C
185,3/20/2024 22:20:24.406,Temperature {Temp.K},186.4, °C,°C
186,3/20/2024 22:20:25.407,Temperature {Temp.K},187.3, °C,°C
187,3/20/2024 22:20:26.408,Temperature {Temp.K},188.8, °C,°C
188,3/20/2024 22:20:27.408,Temperature {Temp.K},189.6, °C,°C
189,3/20/2024 22:20:28.409,Temperature {Temp.K},190.8, °C,°C
190,3/20/2024 22:20:29.410,Temperature {Temp.K},191.5, °C,°C
191,3/20/2024 22:20:30.419,Temperature {Temp.K},192.9, °C,°C
192,3/20/2024 22:20:31.420,Temperature {Temp.K},193.8, °C,°C
193,3/20/2024 22:20:32.421,Temperature {Temp.K},195.2, °C,°C
194,3/20/2024 22:20:33.422,Temperature {Temp.K},196.1, °C,°C
195,3/20/2024 22:20:34.423,Temperature {Temp.K},197.0, °C,°C
196,3/20/2024 22:20:35.425,Temperature {Temp.K},198.3, °C,°C
197,3/20/2024 22:20:36.426,Temperature {Temp.K},199.2, °C,°C
198,3/20/2024 22:20:37.427,Temperature {Temp.K},199.9, °C,°C
199,3/20/2024 22:20:38.427,Temperature {Temp.K},201.2, °C,°C
200,3/20/2024 22:20:39.428,Temperature {Temp.K},202.0, °C,°C
201,3/20/2024 22:20:40.429,Temperature {Temp.K},203.2, °C,°C
202,3/20/2024 22:20:41.430,Temperature {Temp.K},204.0, °C,°C
203,3/20/2024 22:20:42.431,Temperature {Temp.K},204.9, °C,°C
204,3/20/2024 22:20:43.432,Temperature {Temp.K},206.3, °C,°C
205,3/20/2024 22:20:44.433,Temperature {Temp.K},207.1, °C,°C
206,3/20/2024 22:20:45.434,Temperature {Temp.K},208.5, °C,°C
207,3/20/2024 22:20:46.435,Temperature {Temp.K},209.2, °C,°C
208,3/20/2024 22:20:47.436,Temperature {Temp.K},210.0, °C,°C
209,3/20/2024 22:20:48.437,Temperature {Temp.K},211.3, °C,°C
210,3/20/2024 22:20:49.439,Temperature {Temp.K},212.1, °C,°C
211,3/20/2024 22:20:50.440,Temperature {Temp.K},213.4, °C,°C
212,3/20/2024 22:20:51.441,Temperature {Temp.K},214.2, °C,°C
213,3/20/2024 22:20:52.441,Temperature {Temp.K},215.6, °C,°C
214,3/20/2024 22:20:53.443,Temperature {Temp.K},216.4, °C,°C
215,3/20/2024 22:20:54.445,Temperature {Temp.K},217.8, °C,°C
216,3/20/2024 22:20:55.446,Temperature {Temp.K},219.3, °C,°C
217,3/20/2024 22:20:56.447,Temperature {Temp.K},220.5, °C,°C
218,3/20/2024 22:20:57.448,Temperature {Temp.K},221.4, °C,°C
219,3/20/2024 22:20:58.449,Temperature {Temp.K},222.8, °C,°C
220,3/20/2024 22:20:59.450,Temperature {Temp.K},224.3, °C,°C
221,3/20/2024 22:21:00.451,Temperature {Temp.K},225.2, °C,°C
222,3/20/2024 22:21:01.452,Temperature {Temp.K},226.6, °C,°C
223,3/20/2024 22:21:02.452,Temperature {Temp.K},227.9, °C,°C
224,3/20/2024 22:21:03.453,Temperature {Temp.K},229.3, °C,°C
225,3/20/2024 22:21:04.454,Temperature {Temp.K},230.6, °C,°C
226,3/20/2024 22:21:05.455,Temperature {Temp.K},231.8, °C,°C
227,3/20/2024 22:21:06.456,Temperature {Temp.K},232.6, °C,°C
228,3/20/2024 22:21:07.457,Temperature {Temp.K},234.4, °C,°C
229,3/20/2024 22:21:08.459,Temperature {Temp.K},235.3, °C,°C
230,3/20/2024 22:21:09.460,Temperature {Temp.K},237.0, °C,°C
231,3/20/2024 22:21:10.460,Temperature {Temp.K},238.3, °C,°C
232,3/20/2024 22:21:11.461,Temperature {Temp.K},239.1, °C,°C
233,3/20/2024 22:21:12.462,Temperature {Temp.K},240.5, °C,°C
234,3/20/2024 22:21:13.463,Temperature {Temp.K},242.0, °C,°C
235,3/20/2024 22:21:14.464,Temperature {Temp.K},242.8, °C,°C
236,3/20/2024 22:21:15.464,Temperature {Temp.K},244.2, °C,°C
237,3/20/2024 22:21:16.466,Temperature {Temp.K},245.1, °C,°C
238,3/20/2024 22:21:17.467,Temperature {Temp.K},246.3, °C,°C
239,3/20/2024 22:21:18.468,Temperature {Temp.K},247.1, °C,°C
240,3/20/2024 22:21:19.469,Temperature {Temp.K},248.5, °C,°C
241,3/20/2024 22:21:20.469,Temperature {Temp.K},250.5, °C,°C
242,3/20/2024 22:21:21.470,Temperature {Temp.K},251.3, °C,°C
243,3/20/2024 22:21:22.471,Temperature {Temp.K},252.9, °C,°C
244,3/20/2024 22:21:23.472,Temperature {Temp.K},253.7, °C,°C
245,3/20/2024 22:21:24.473,Temperature {Temp.K},254.5, °C,°C
246,3/20/2024 22:21:25.475,Temperature {Temp.K},255.4, °C,°C
247,3/20/2024 22:21:26.476,Temperature {Temp.K},256.2, °C,°C
248,3/20/2024 22:21:27.477,Temperature {Temp.K},257.1, °C,°C
249,3/20/2024 22:21:28.477,Temperature {Temp.K},257.4, °C,°C
250,3/20/2024 22:21:29.478,Temperature {Temp.K},258.2, °C,°C
251,3/20/2024 22:21:30.484,Temperature {Temp.K},258.5, °C,°C
252,3/20/2024 22:21:31.485,Temperature {Temp.K},258.8, °C,°C
253,3/20/2024 22:21:32.485,Temperature {Temp.K},259.1, °C,°C
254,3/20/2024 22:21:33.486,Temperature {Temp.K},259.2, °C,°C
255,3/20/2024 22:21:34.487,Temperature {Temp.K},259.1, °C,°C
256,3/20/2024 22:21:35.488,Temperature {Temp.K},259.1, °C,°C
257,3/20/2024 22:21:36.489,Temperature {Temp.K},259.0, °C,°C
258,3/20/2024 22:21:37.490,Temperature {Temp.K},258.8, °C,°C
259,3/20/2024 22:21:38.490,Temperature {Temp.K},258.4, °C,°C
260,3/20/2024 22:21:39.492,Temperature {Temp.K},258.0, °C,°C
261,3/20/2024 22:21:40.492,Temperature {Temp.K},257.5, °C,°C
262,3/20/2024 22:21:41.493,Temperature {Temp.K},256.7, °C,°C
263,3/20/2024 22:21:42.494,Temperature {Temp.K},256.5, °C,°C
264,3/20/2024 22:21:43.495,Temperature {Temp.K},256.2, °C,°C
265,3/20/2024 22:21:44.496,Temperature {Temp.K},255.8, °C,°C
266,3/20/2024 22:21:45.497,Temperature {Temp.K},255.4, °C,°C
267,3/20/2024 22:21:46.499,Temperature {Temp.K},254.9, °C,°C
268,3/20/2024 22:21:47.504,Temperature {Temp.K},254.6, °C,°C
269,3/20/2024 22:21:48.505,Temperature {Temp.K},253.9, °C,°C
270,3/20/2024 22:21:49.505,Temperature {Temp.K},253.6, °C,°C
271,3/20/2024 22:21:50.506,Temperature {Temp.K},252.8, °C,°C
272,3/20/2024 22:21:51.507,Temperature {Temp.K},252.1, °C,°C
273,3/20/2024 22:21:52.507,Temperature {Temp.K},251.3, °C,°C
274,3/20/2024 22:21:53.508,Temperature {Temp.K},250.5, °C,°C
275,3/20/2024 22:21:54.509,Temperature {Temp.K},250.1, °C,°C
276,3/20/2024 22:21:55.509,Temperature {Temp.K},249.4, °C,°C
277,3/20/2024 22:21:56.510,Temperature {Temp.K},248.5, °C,°C
278,3/20/2024 22:21:57.511,Temperature {Temp.K},247.7, °C,°C
279,3/20/2024 22:21:58.512,Temperature {Temp.K},246.9, °C,°C
280,3/20/2024 22:21:59.513,Temperature {Temp.K},246.1, °C,°C
281,3/20/2024 22:22:00.514,Temperature {Temp.K},244.9, °C,°C
282,3/20/2024 22:22:01.515,Temperature {Temp.K},244.1, °C,°C
283,3/20/2024 22:22:02.516,Temperature {Temp.K},243.3, °C,°C
284,3/20/2024 22:22:03.516,Temperature {Temp.K},242.5, °C,°C
285,3/20/2024 22:22:04.518,Temperature {Temp.K},241.7, °C,°C
286,3/20/2024 22:22:05.518,Temperature {Temp.K},240.9, °C,°C
287,3/20/2024 22:22:06.519,Temperature {Temp.K},240.1, °C,°C
288,3/20/2024 22:22:07.520,Temperature {Temp.K},239.3, °C,°C
289,3/20/2024 22:22:08.520,Temperature {Temp.K},238.5, °C,°C
290,3/20/2024 22:22:09.521,Temperature {Temp.K},237.6, °C,°C
291,3/20/2024 22:22:10.523,Temperature {Temp.K},236.9, °C,°C
292,3/20/2024 22:22:11.524,Temperature {Temp.K},236.0, °C,°C
293,3/20/2024 22:22:12.525,Temperature {Temp.K},235.2, °C,°C
294,3/20/2024 22:22:13.527,Temperature {Temp.K},234.5, °C,°C
295,3/20/2024 22:22:14.528,Temperature {Temp.K},233.6, °C,°C
296,3/20/2024 22:22:15.529,Temperature {Temp.K},233.6, °C,°C
297,3/20/2024 22:22:16.530,Temperature {Temp.K},232.2, °C,°C
298,3/20/2024 22:22:17.530,Temperature {Temp.K},231.3, °C,°C
299,3/20/2024 22:22:18.532,Temperature {Temp.K},230.5, °C,°C
300,3/20/2024 22:22:19.533,Temperature {Temp.K},229.7, °C,°C
301,3/20/2024 22:22:20.534,Temperature {Temp.K},228.5, °C,°C
302,3/20/2024 22:22:21.535,Temperature {Temp.K},227.8, °C,°C
303,3/20/2024 22:22:22.536,Temperature {Temp.K},226.9, °C,°C
304,3/20/2024 22:22:23.537,Temperature {Temp.K},226.1, °C,°C
305,3/20/2024 22:22:24.538,Temperature {Temp.K},225.3, °C,°C
306,3/20/2024 22:22:25.539,Temperature {Temp.K},224.5, °C,°C
307,3/20/2024 22:22:26.540,Temperature {Temp.K},223.7, °C,°C
308,3/20/2024 22:22:27.541,Temperature {Temp.K},223.1, °C,°C
309,3/20/2024 22:22:28.541,Temperature {Temp.K},222.7, °C,°C
310,3/20/2024 22:22:29.542,Temperature {Temp.K},221.9, °C,°C
311,3/20/2024 22:22:30.543,Temperature {Temp.K},221.2, °C,°C
312,3/20/2024 22:22:31.544,Temperature {Temp.K},220.4, °C,°C
313,3/20/2024 22:22:32.546,Temperature {Temp.K},219.6, °C,°C
314,3/20/2024 22:22:33.546,Temperature {Temp.K},218.8, °C,°C
315,3/20/2024 22:22:34.547,Temperature {Temp.K},218.1, °C,°C
316,3/20/2024 22:22:35.548,Temperature {Temp.K},217.3, °C,°C
317,3/20/2024 22:22:36.549,Temperature {Temp.K},216.5, °C,°C
318,3/20/2024 22:22:37.550,Temperature {Temp.K},216.1, °C,°C
319,3/20/2024 22:22:38.550,Temperature {Temp.K},215.4, °C,°C
320,3/20/2024 22:22:39.551,Temperature {Temp.K},214.6, °C,°C
321,3/20/2024 22:22:40.552,Temperature {Temp.K},213.9, °C,°C
322,3/20/2024 22:22:41.553,Temperature {Temp.K},213.0, °C,°C
323,3/20/2024 22:22:42.554,Temperature {Temp.K},212.3, °C,°C
324,3/20/2024 22:22:43.555,Temperature {Temp.K},211.9, °C,°C
325,3/20/2024 22:22:44.555,Temperature {Temp.K},211.1, °C,°C
326,3/20/2024 22:22:45.556,Temperature {Temp.K},210.3, °C,°C
327,3/20/2024 22:22:46.557,Temperature {Temp.K},209.4, °C,°C
328,3/20/2024 22:22:47.558,Temperature {Temp.K},209.1, °C,°C
329,3/20/2024 22:22:48.559,Temperature {Temp.K},208.4, °C,°C
330,3/20/2024 22:22:49.560,Temperature {Temp.K},207.7, °C,°C
331,3/20/2024 22:22:50.561,Temperature {Temp.K},206.7, °C,°C
332,3/20/2024 22:22:51.562,Temperature {Temp.K},206.4, °C,°C
333,3/20/2024 22:22:52.562,Temperature {Temp.K},205.5, °C,°C
334,3/20/2024 22:22:53.563,Temperature {Temp.K},204.8, °C,°C
335,3/20/2024 22:22:54.565,Temperature {Temp.K},204.5, °C,°C
336,3/20/2024 22:22:55.566,Temperature {Temp.K},203.7, °C,°C
337,3/20/2024 22:22:56.568,Temperature {Temp.K},203.2, °C,°C
338,3/20/2024 22:22:57.569,Temperature {Temp.K},202.5, °C,°C
339,3/20/2024 22:22:58.570,Temperature {Temp.K},201.7, °C,°C
340,3/20/2024 22:22:59.571,Temperature {Temp.K},201.3, °C,°C
341,3/20/2024 22:23:00.572,Temperature {Temp.K},200.6, °C,°C
342,3/20/2024 22:23:01.573,Temperature {Temp.K},199.7, °C,°C
343,3/20/2024 22:23:02.574,Temperature {Temp.K},199.4, °C,°C
344,3/20/2024 22:23:03.575,Temperature {Temp.K},198.9, °C,°C
345,3/20/2024 22:23:04.576,Temperature {Temp.K},198.2, °C,°C
346,3/20/2024 22:23:05.577,Temperature {Temp.K},197.8, °C,°C
347,3/20/2024 22:23:06.578,Temperature {Temp.K},196.9, °C,°C
348,3/20/2024 22:23:07.579,Temperature {Temp.K},196.6, °C,°C
349,3/20/2024 22:23:08.581,Temperature {Temp.K},196.2, °C,°C
350,3/20/2024 22:23:09.581,Temperature {Temp.K},195.5, °C,°C
351,3/20/2024 22:23:10.582,Temperature {Temp.K},195.1, °C,°C
352,3/20/2024 22:23:11.583,Temperature {Temp.K},194.4, °C,°C
353,3/20/2024 22:23:12.584,Temperature {Temp.K},194.0, °C,°C
354,3/20/2024 22:23:13.585,Temperature {Temp.K},193.2, °C,°C
355,3/20/2024 22:23:14.586,Temperature {Temp.K},192.9, °C,°C
356,3/20/2024 22:23:15.587,Temperature {Temp.K},192.4, °C,°C
357,3/20/2024 22:23:16.588,Temperature {Temp.K},191.7, °C,°C
358,3/20/2024 22:23:17.589,Temperature {Temp.K},191.3, °C,°C
359,3/20/2024 22:23:18.590,Temperature {Temp.K},190.6, °C,°C
360,3/20/2024 22:23:19.591,Temperature {Temp.K},190.2, °C,°C
361,3/20/2024 22:23:20.592,Temperature {Temp.K},188.0, °C,°C
362,3/20/2024 22:23:21.592,Temperature {Temp.K},180.9, °C,°C
363,3/20/2024 22:23:22.593,Temperature {Temp.K},177.8, °C,°C
364,3/20/2024 22:23:23.594,Temperature {Temp.K},173.0, °C,°C
