Serial Number,MY62140058,
Model Number,U1242C,
Remark,-,
Date Time,3/20/2024 10:30:35 PM
Record,Time,Function,Reading,Range,Unit
1,3/20/2024 22:17:20.212,Temperature {Temp.K},28.0, °C,°C
2,3/20/2024 22:17:21.212,Temperature {Temp.K},28.0, °C,°C
3,3/20/2024 22:17:22.213,Temperature {Temp.K},28.0, °C,°C
4,3/20/2024 22:17:23.214,Temperature {Temp.K},28.0, °C,°C
5,3/20/2024 22:17:24.215,Temperature {Temp.K},28.0, °C,°C
6,3/20/2024 22:17:25.216,Temperature {Temp.K},27.9, °C,°C
7,3/20/2024 22:17:26.217,Temperature {Temp.K},27.9, °C,°C
8,3/20/2024 22:17:27.219,Temperature {Temp.K},27.9, °C,°C
9,3/20/2024 22:17:28.219,Temperature {Temp.K},27.8, °C,°C
10,3/20/2024 22:17:29.219,Temperature {Temp.K},27.8, °C,°C
11,3/20/2024 22:17:30.220,Temperature {Temp.K},27.8, °C,°C
12,3/20/2024 22:17:31.222,Temperature {Temp.K},27.7, °C,°C
13,3/20/2024 22:17:32.222,Temperature {Temp.K},27.7, °C,°C
14,3/20/2024 22:17:33.222,Temperature {Temp.K},27.7, °C,°C
15,3/20/2024 22:17:34.223,Temperature {Temp.K},27.7, °C,°C
16,3/20/2024 22:17:35.224,Temperature {Temp.K},27.7, °C,°C
17,3/20/2024 22:17:36.224,Temperature {Temp.K},27.7, °C,°C
18,3/20/2024 22:17:37.226,Temperature {Temp.K},27.6, °C,°C
19,3/20/2024 22:17:38.226,Temperature {Temp.K},27.6, °C,°C
20,3/20/2024 22:17:39.226,Temperature {Temp.K},27.6, °C,°C
21,3/20/2024 22:17:40.228,Temperature {Temp.K},27.6, °C,°C
22,3/20/2024 22:17:41.229,Temperature {Temp.K},27.6, °C,°C
23,3/20/2024 22:17:42.229,Temperature {Temp.K},27.5, °C,°C
24,3/20/2024 22:17:43.229,Temperature {Temp.K},27.5, °C,°C
25,3/20/2024 22:17:44.230,Temperature {Temp.K},27.5, °C,°C
26,3/20/2024 22:17:45.231,Temperature {Temp.K},27.5, °C,°C
27,3/20/2024 22:17:46.232,Temperature {Temp.K},27.4, °C,°C
28,3/20/2024 22:17:47.233,Temperature {Temp.K},27.4, °C,°C
29,3/20/2024 22:17:48.234,Temperature {Temp.K},27.4, °C,°C
30,3/20/2024 22:17:49.235,Temperature {Temp.K},27.3, °C,°C
31,3/20/2024 22:17:50.237,Temperature {Temp.K},27.3, °C,°C
32,3/20/2024 22:17:51.238,Temperature {Temp.K},27.3, °C,°C
